Campaign Name,Merchant Number,Parent Name,city_id,Merchant Co-hort,Cuisine Type,promotion_type,min_basket_size,Promotion Duration (days),before_Completed Trips ,during_Completed Trips ,before_average_basket_size,during_average_basket_size,before_gross_bookings,during_gross_bookings,before_new_customer,during_new_customer,before_menu_session,during_menu_session,n_redemption,average_promotion_value_usd,Promo costs_usd,before_First Trips Eater,during_First Trips Eater,before_unique_eater,during_unique_eater
Enterprise Multiple Brand,848,Cindy,1854,Enterprise,Japanese,BOGO,0,14,215,298,13.3,13.3,2859.9,3964.8,88,108,1547,3262,80,1.08,86.25,2,0,204,263
Enterprise Multiple Brand,849,Cindy,94,Enterprise,Japanese,BOGO,0,14,417,558,14.1,14.1,5876.5,7875.9,216,223,2249,4128,90,1.93,173.85,0,3,214,504
Enterprise Multiple Brand,850,Cindy,94,Enterprise,Japanese,BOGO,0,14,391,457,14.1,15.7,5515.7,7184.5,163,205,2064,4270,105,1.31,137.36,6,0,182,442
Enterprise Multiple Brand,851,Cindy,1854,Enterprise,Japanese,BOGO,0,14,255,364,12.1,12.7,3073.0,4612.6,156,193,2204,5032,53,1.31,69.43,0,0,131,356
Enterprise Multiple Brand,852,Cindy,94,Enterprise,Japanese,BOGO,0,14,295,322,15.1,14.4,4444.1,4638.5,158,143,1593,3198,87,1.59,138.62,6,3,143,311
Enterprise Multiple Brand,853,Cindy,94,Enterprise,Japanese,BOGO,0,14,439,512,16.6,15.9,7303.9,8130.3,220,220,2394,5006,113,1.15,129.92,8,3,226,484
Enterprise Multiple Brand,854,Cindy,94,Enterprise,Japanese,BOGO,0,14,468,687,13.8,15.5,6456.5,10641.9,196,298,2223,5784,128,1.11,142.07,2,0,210,610
Enterprise Multiple Brand,855,Cindy,1077,Enterprise,Japanese,BOGO,0,14,305,403,14.5,13.7,4407.8,5527.5,150,135,1989,4152,57,1.22,69.57,0,3,155,386
Enterprise Multiple Brand,856,Cindy,1139,Enterprise,Japanese,BOGO,0,14,916,1022,14.9,15.7,13625.9,16035.7,326,330,4310,7746,180,1.10,197.97,4,6,448,949
Enterprise Multiple Brand,857,Cindy,94,Enterprise,Japanese,BOGO,0,14,179,232,17.5,15.1,3130.8,3485.8,97,118,1058,2040,35,1.08,37.75,0,3,92,196
Enterprise Multiple Brand,858,Cindy,94,Enterprise,Japanese,BOGO,0,14,810,1102,15.5,15.9,12522.2,17560.3,304,378,4017,7662,192,1.12,214.92,8,12,396,1005
Enterprise Multiple Brand,859,Cindy,1077,Enterprise,Japanese,BOGO,0,14,135,168,14.3,15.1,1933.4,2534.4,75,68,1005,2126,12,1.08,12.95,0,9,70,160
Enterprise Multiple Brand,860,Cindy,94,Enterprise,Japanese,BOGO,0,14,221,344,16.0,14.6,3525.7,5027.3,79,123,1593,3014,68,1.08,73.29,2,6,114,305
Enterprise Multiple Brand,861,Cindy,1944,Enterprise,Japanese,BOGO,0,14,149,169,14.9,13.3,2217.4,2250.0,88,85,1154,2044,20,1.08,21.56,4,0,79,160
Enterprise Multiple Brand,862,Cindy,965,Enterprise,Japanese,BOGO,0,14,71,67,10.7,10.2,755.4,688.6,31,38,534,940,5,1.08,5.38,2,6,37,67
Enterprise Multiple Brand,863,Cindy,1944,Enterprise,Japanese,BOGO,0,14,238,301,13.1,14.0,3105.3,4203.5,121,153,1782,3258,35,1.08,37.70,0,9,124,294
Enterprise Multiple Brand,864,Connor,94,Enterprise,Beverage,BOGO,0,14,249,349,6.9,8.2,1732.8,2863.7,95,135,710,1182,155,2.66,412.42,0,0,101,272
Enterprise Multiple Brand,865,Connor,94,Enterprise,Beverage,BOGO,0,14,172,199,6.0,9.0,1023.8,1788.9,84,93,282,632,75,2.54,190.70,0,3,61,157
Enterprise Multiple Brand,866,Connor,94,Enterprise,Beverage,BOGO,0,14,97,154,6.0,9.8,581.4,1509.0,53,100,272,950,90,3.78,340.17,0,0,38,140
Enterprise Multiple Brand,867,Connor,94,Enterprise,Beverage,BOGO,0,14,371,451,7.3,8.1,2727.4,3648.6,132,130,570,1450,245,2.98,730.87,0,0,152,339
Enterprise Multiple Brand,868,Connor,94,Enterprise,Beverage,BOGO,0,14,437,805,6.7,7.8,2933.5,6245.9,161,260,845,3198,410,2.76,1129.62,2,3,185,616
Enterprise Multiple Brand,869,Connor,94,Enterprise,Beverage,BOGO,0,14,128,169,7.0,8.0,894.9,1344.2,75,103,335,1112,60,2.70,161.80,0,3,53,148
Enterprise Multiple Brand,870,Connor,94,Enterprise,Beverage,BOGO,0,14,204,344,5.7,7.8,1160.9,2695.0,110,195,399,1364,237,2.87,680.55,0,3,89,263
Enterprise Multiple Brand,871,Connor,965,Enterprise,Beverage,BOGO,0,14,215,555,6.3,7.6,1361.3,4201.8,106,298,758,3462,450,2.89,1302.04,4,9,103,493
Enterprise Multiple Brand,872,Connor,94,Enterprise,Beverage,BOGO,0,14,313,362,9.5,9.5,2979.3,3444.9,123,125,621,1500,210,2.65,557.28,2,0,133,300
Enterprise Multiple Brand,873,Connor,94,Enterprise,Beverage,BOGO,0,14,404,670,8.2,8.8,3308.8,5903.4,114,218,810,2436,380,2.77,1053.88,0,6,161,529
Enterprise Multiple Brand,874,Connor,1944,Enterprise,Beverage,BOGO,0,14,320,454,7.0,7.7,2237.7,3499.2,114,208,1098,1876,285,2.59,738.46,0,6,145,406
Enterprise Multiple Brand,875,Connor,94,Enterprise,Beverage,BOGO,0,14,206,326,7.2,9.4,1477.7,3060.0,106,153,354,1066,80,3.76,301.09,0,6,92,274
Enterprise Multiple Brand,876,Connor,94,Enterprise,Beverage,BOGO,0,14,165,264,5.8,8.4,952.4,2203.6,92,135,390,974,147,3.47,510.30,0,3,65,213
Enterprise Multiple Brand,877,Connor,94,Enterprise,Beverage,BOGO,0,14,218,283,6.5,7.5,1425.9,2116.7,84,90,498,1182,143,2.73,390.79,0,0,86,190
Enterprise Multiple Brand,878,Connor,94,Enterprise,Beverage,BOGO,0,14,145,328,8.2,9.4,1183.4,3098.4,64,153,332,1492,200,3.18,636.39,4,3,61,255
Enterprise Multiple Brand,879,Connor,94,Enterprise,Beverage,BOGO,0,14,421,540,7.2,7.3,3033.0,3949.1,172,190,713,1816,285,2.74,779.86,0,0,173,395
Enterprise Multiple Brand,880,Connor,94,Enterprise,Beverage,BOGO,0,14,130,235,6.0,8.0,771.9,1874.9,70,125,320,1114,120,2.38,285.53,0,3,53,199
Enterprise Multiple Brand,881,Connor,94,Enterprise,Beverage,BOGO,0,14,358,647,5.2,7.0,1877.3,4507.6,147,260,743,2130,327,2.46,804.43,2,3,144,490
Enterprise Multiple Brand,882,Connor,94,Enterprise,Beverage,BOGO,0,14,5,82,5.0,8.5,25.6,699.6,7,50,54,480,23,2.13,48.91,0,0,2,67
Enterprise Multiple Brand,883,Connor,94,Enterprise,Beverage,BOGO,0,14,295,404,6.9,7.6,2037.2,3057.2,114,205,471,1676,200,2.76,552.70,0,0,124,339
Enterprise Multiple Brand,884,Connor,94,Enterprise,Beverage,BOGO,0,14,238,390,6.7,8.5,1581.3,3309.7,119,173,471,1450,237,3.13,742.25,2,3,103,302
Enterprise Multiple Brand,885,Connor,94,Enterprise,Beverage,BOGO,0,14,315,483,6.5,6.9,2052.5,3328.7,134,183,582,1722,267,2.40,641.73,2,3,122,358
Enterprise Multiple Brand,886,Connor,94,Enterprise,Beverage,BOGO,0,14,109,211,8.6,10.1,939.3,2136.9,59,108,231,744,98,3.07,301.27,0,9,41,179
Enterprise Multiple Brand,887,Connor,94,Enterprise,Beverage,BOGO,0,14,99,161,7.2,7.4,712.4,1184.0,46,65,291,662,60,2.59,155.67,0,3,43,132
Enterprise Multiple Brand,888,Connor,1944,Enterprise,Beverage,BOGO,0,14,197,266,6.4,8.3,1264.8,2205.3,88,118,468,1616,173,3.59,620.32,2,3,88,232
Enterprise Multiple Brand,889,Connor,1944,Enterprise,Beverage,BOGO,0,14,91,149,6.1,6.6,551.8,990.4,66,88,189,650,80,2.73,218.48,0,0,40,112
Enterprise Multiple Brand,890,Connor,94,Enterprise,Beverage,BOGO,0,14,173,208,8.2,9.1,1419.7,1886.8,81,90,449,928,113,2.59,293.05,2,3,74,176
Enterprise Multiple Brand,891,Connor,94,Enterprise,Beverage,BOGO,0,14,28,86,7.1,8.1,196.2,700.9,24,65,120,962,65,4.20,272.80,0,0,13,81
Enterprise Multiple Brand,892,Connor,94,Enterprise,Beverage,BOGO,0,14,1353,1882,6.5,7.4,8808.4,13865.1,431,573,2439,5152,680,2.73,1858.95,0,3,521,1408
Enterprise Multiple Brand,893,Connor,94,Enterprise,Beverage,BOGO,0,14,293,318,7.4,7.4,2169.5,2349.6,84,100,500,1188,215,2.93,630.97,0,6,100,241
