City,date,day_of_week,hour_beginning,trip_requests,completed_trips,first_trip_eaters,unique_eaters,session_numbers,gross_bookings,promo_costs,resto_payouts,delivery_partner_payouts,online_restaurant_numbers,active_restaurant_numbers,unfulfilled_trips,average_delivery_time,average_delivery_distance,online_minutes,on_trip_minutes,unique_drivers
1139,8-Nov,7,0,114,113,1,110,767,"$1,059",$55,$636,$231,117,117,0,20.23,1.45,8328.68,3311.58,224
1139,8-Nov,7,1,65,65,0,65,503,$602,$44,$354,$127,66,66,0,23.29,1.58,4152.93,1621.01,103
1139,8-Nov,7,2,33,33,0,33,333,$477,$21,$292,$76,25,25,0,43.71,1.48,1872.70,525.42,52
1139,8-Nov,7,3,9,9,0,9,231,$80,$8,$47,$18,17,17,0,23.56,1.48,894.81,326.30,23
1139,8-Nov,7,4,4,4,0,4,174,$34,$0,$19,$9,9,9,0,22.25,1.49,766.54,175.15,21
1139,8-Nov,7,5,14,14,0,14,163,$127,$3,$74,$32,6,6,0,25.93,1.48,972.84,245.35,32
1139,8-Nov,7,6,37,37,0,36,206,$327,$24,$197,$77,17,17,0,20.54,1.43,3398.62,836.09,100
1139,8-Nov,7,7,112,112,0,110,403,"$1,100",$41,$713,$230,68,68,0,20.36,1.40,8995.59,3303.50,226
1139,8-Nov,7,8,201,201,2,201,689,"$1,822",$80,"$1,170",$422,100,100,0,22.47,1.25,15958.19,6599.57,344
1139,8-Nov,7,9,316,315,2,309,959,"$2,979",$96,"$1,948",$719,110,110,0,24.88,1.34,21693.17,10225.49,463
1139,8-Nov,7,10,321,321,3,315,2033,"$3,307",$97,"$2,098",$749,135,134,0,25.46,1.41,28629.72,10979.87,655
1139,8-Nov,7,11,883,882,13,852,10112,"$11,239",$175,"$7,458","$2,073",291,289,0,25.75,1.50,43147.96,22791.75,907
1139,8-Nov,7,12,909,908,14,874,3020,"$10,218",$150,"$6,684","$2,135",630,628,0,23.37,1.49,51399.05,31627.90,971
1139,8-Nov,7,13,614,612,4,587,3107,"$6,578",$126,"$4,326","$1,434",638,636,0,22.23,1.43,46105.94,21947.42,930
1139,8-Nov,7,14,436,435,4,421,1995,"$4,488",$135,"$2,976",$906,587,585,0,22.14,1.34,33748.16,13879.08,764
1139,8-Nov,7,15,355,355,9,343,1566,"$3,557",$110,"$2,313",$740,514,512,0,21.74,1.39,27716.55,10669.86,621
1139,8-Nov,7,16,424,424,5,411,3072,"$5,507",$152,"$3,780",$925,511,509,0,24.54,1.44,29763.82,10657.03,682
1139,8-Nov,7,17,1143,1138,17,1094,3009,"$15,354",$179,"$10,209","$2,649",580,578,0,28.54,1.57,43361.00,27310.81,920
1139,8-Nov,7,18,1197,1195,19,1146,2763,"$15,564",$186,"$10,241","$2,701",708,706,0,30.72,1.53,51190.53,46522.86,986
1139,8-Nov,7,19,734,729,7,700,2063,"$8,262",$180,"$5,386","$1,702",708,706,0,25.38,1.53,46853.39,32286.29,951
1139,8-Nov,7,20,437,437,7,426,2529,"$4,394",$116,"$2,842",$918,672,670,0,21.16,1.45,30403.37,16316.91,748
1139,8-Nov,7,21,324,323,5,315,1494,"$3,062",$106,"$1,932",$674,497,497,0,19.78,1.40,21001.60,9826.61,509
1139,8-Nov,7,22,247,245,1,241,1090,"$2,042",$97,"$1,266",$505,282,282,0,25.38,1.38,15278.76,7270.71,363
1139,8-Nov,7,23,172,171,1,166,880,"$1,567",$66,$944,$366,167,167,0,20.44,1.54,10009.81,4727.02,238
1139,9-Nov,1,0,108,108,1,102,621,"$1,023",$54,$609,$230,106,106,0,22.06,1.57,5421.58,2734.68,142
1139,9-Nov,1,1,46,46,0,46,476,$424,$26,$257,$95,61,61,0,21.15,1.33,2534.02,1297.02,77
